,ZIP Code,SAFMR 0BR,SAFMR 1BR,SAFMR 2BR,SAFMR 3BR,SAFMR 4BR,Total Population,Median Age,Percent Males,Percent Females,"Percent Race, White","Percent Race, Black","Percent Race, Native or Alaskan","Percent Race, Asian","Percent Race, Native Hawaiian or Pacific Islander","Percent Race, Two or more races","Percent Race, Hispanic or Latino",Percent speak another language at home,Percent never married,Percent married,Percent divorced,Percent widowed,Percent less than high school, Percent high school graduate,Percent some college or associates,Percent college graduate,Percent graduate degree,Median income in past year,"Percent, 100 poverty status","Percent, 100 TO 149 poverty status","Percent, 150 poverty status","Total population, born in state of residence",Percent born in state of residence,RES_RATIO,State,Total Gender,Region
373,87109,820,1010,1230,1750,2100,39323,42.7,46.1,53.9,59.5,4.5,9.4,3.3,0.0,16.7,36.1,16.4,37.2,38.0,18.0,6.8,7.2,18.0,32.5,22.5,19.7,37792,15.1,10.9,74.0,18847,47.92869313124635,1.0,NM,100.0,SW
4616,76653,800,930,1120,1590,1910,1133,57.6,50.0,50.0,87.9,2.8,0.0,1.9,0.0,5.6,5.0,2.2,20.1,61.3,8.8,9.8,7.7,40.8,37.0,8.5,6.1,37708,16.1,4.9,79.0,936,82.61253309796999,1.0,TX,100.0,SW
10440,78046,800,800,1000,1280,1390,71965,26.0,49.9,50.1,39.2,0.2,0.3,0.2,0.0,52.9,97.1,91.2,42.6,43.1,10.2,4.2,35.5,27.1,24.7,9.2,3.6,25022,26.3,16.6,57.1,52048,72.32404641145001,1.0,TX,100.0,SW
19715,76524,760,860,1070,1430,1530,3855,45.7,49.2,50.8,72.8,2.1,0.1,0.7,0.0,19.3,27.3,15.2,18.0,61.0,12.9,8.1,16.0,30.2,34.8,8.3,10.8,31916,28.8,2.5,68.7,2546,66.04409857328145,1.0,TX,100.0,SW
368,87104,740,910,1100,1560,1870,13369,40.7,48.2,51.8,55.3,3.5,1.8,1.0,0.0,30.7,55.3,26.6,36.6,37.0,17.4,9.0,8.1,15.5,28.8,26.1,21.6,38546,13.0,11.7,75.3,8096,60.558007330391206,1.0,NM,100.0,SW
5467,76093,940,1060,1250,1650,2050,4193,38.0,53.1,46.9,91.6,0.0,0.1,0.0,0.0,7.4,13.1,8.7,28.8,52.1,15.5,3.6,16.6,32.5,36.1,9.1,5.6,40382,8.5,9.6,81.9,3235,77.15239685189601,1.0,TX,100.0,SW
11521,79423,790,910,1110,1550,1820,44357,34.7,49.2,50.8,72.2,4.4,0.5,2.4,0.1,14.8,30.8,16.0,28.6,54.0,12.1,5.3,5.8,23.4,33.3,22.6,14.9,42734,10.2,8.6,81.1,32695,73.70877200892757,1.0,TX,100.0,SW
18095,76273,820,1000,1170,1580,1950,11019,39.1,46.5,53.5,85.0,1.0,0.8,2.6,0.5,7.4,9.7,6.4,30.8,49.6,11.0,8.7,8.0,44.4,27.7,10.8,9.2,36891,8.5,10.0,81.5,7261,65.89527180324893,1.0,TX,100.0,SW
12209,79766,1050,1050,1290,1600,2210,10712,30.9,59.4,40.6,42.4,2.8,2.5,0.4,0.0,23.6,68.3,63.7,29.6,56.8,9.9,3.7,41.9,26.2,21.9,8.8,1.1,35691,18.3,5.7,76.0,6611,61.71583271097835,1.0,TX,100.0,SW
5266,75126,1630,1720,2030,2560,3340,77116,31.8,51.5,48.5,52.1,24.9,0.8,3.2,0.0,14.2,23.0,21.1,32.5,54.8,9.9,2.8,8.2,21.7,34.3,25.3,10.6,51684,7.8,7.8,84.5,46692,60.54774625239898,1.0,TX,100.0,SW
